Text,Star Rating,Date,
Tastes great and leaves my mouth feeling fresh,5,7/1/2025,8
Didn't notice any whitening even after 2 weeks,2,6/28/2025,8
Nice packaging but the cap broke in a week,3,6/20/2025,9
Gentle on sensitive teeth and works well,4,7/10/2025,7
Whitening effect is noticeable within days!,5,7/12/2025,6
"Flavor is too strong for me, not a fan",2,6/18/2025,9
"Arrived damaged, packaging was poor",1,6/25/2025,5
"Great for sensitive gums, no irritation at all",5,7/5/2025,8
No change in whiteness and tastes bad,1,6/30/2025,7
Well-packaged and refreshing mint flavor,4,7/8/2025,5
"Used for a month, good whitening results after 10 days. Mint flavor is nice and mouth feels fresh. Tube could be bigger for the price.",4,7/15/2025,25
Didn't work at all. Used twice daily for 3 weeks with no whitening. Taste is okay but too expensive for regular toothpaste.,2,7/3/2025,22
"Great for sensitive teeth! No pain or discomfort and my teeth look whiter. Smooth texture, not gritty like others.",5,6/22/2025,19
Caused mouth sores and gum irritation within a week. Too harsh for daily use. Had to stop and see dentist.,1,6/27/2025,20
Perfect whitening toothpaste! Coffee and wine stains are gone after 6 weeks. People notice how white my teeth look now.,5,7/18/2025,20
Mixed results. Some whitening after 3 weeks but taste is artificial and medicinal. Cap breaks easily and leaks.,3,7/6/2025,18
Been using for 2 months with great results. Natural-looking whitening and dentist commented on improvement. No aftertaste.,5,6/15/2025,17
"Too thick consistency, doesn't spread well. Minimal whitening after a month. Cleans okay but overpriced for results.",2,7/11/2025,17
Best whitening toothpaste ever! Tea stains removed in 2 weeks. Coworkers asked if I had professional whitening done.,5,6/19/2025,18
"Average results, very subtle whitening took 2 months. Works as regular toothpaste but not worth the higher price.",3,7/14/2025,18
Gentle formula perfect for sensitive teeth. Teeth are whiter after 6 weeks with no discomfort. Tube runs out quickly.,4,6/24/2025,19
"Complete waste of money. Damaged cap, bland taste, chalky texture. No whitening after 5 weeks. Bad customer service.",1,7/9/2025,18
"Daily routine staple now. Gradual whitening without enamel damage. Natural brightness, refreshing mint flavor.",4,6/17/2025,14
Ineffective for coffee stains after 2 months. Works as regular toothpaste but poor whitening results for the price.,2,7/4/2025,18
"Outstanding results! Skeptical at first but teeth significantly brighter in 3 weeks. No sensitivity issues, great consistency.",5,6/26/2025,17
"Good whitening but packaging is poor quality. Cap broke in 2 weeks making storage difficult. Product good, packaging bad.",3,7/17/2025,19
Very gradual whitening over 7 weeks but gentle on sensitive gums. No irritation like other products. Mild pleasant flavor.,4,6/21/2025,19
Overhyped and overpriced. No whitening after a month of daily use. Artificial taste with lingering aftertaste. Very disappointed.,1,7/13/2025,18
"Excellent whitening! Wine stains removed in 5 weeks, teeth several shades whiter. Natural results, perfect mint flavor.",5,6/23/2025,17
Decent product but gradual results. Took 6 weeks to notice change. Tube design makes it hard to squeeze when half empty.,3,7/7/2025,21
