Tweet_count,Username,Text,Created At,Retweets,Likes
1,Narendra Modi,The people of Jorhat have made commendable efforts to strengthen the fight against malaria! #MannKiBaat https://t.co/0LEGlOdFOI,Sun Dec 29 13:06:49 +0000 2024,2282,10240
2,Narendra Modi,"It makes us very proud to see the world’s oldest language, Tamil, gain popularity in Fiji. #MannKiBaat https://t.co/gaIkOJFxvw",Sun Dec 29 13:05:00 +0000 2024,3565,19120
3,Narendra Modi,"In 2025, India is all set to welcome people from all across the world for WAVES, a film and entertainment world summit! #MannKiBaat https://t.co/8XKpB4IU0m",Sun Dec 29 11:50:20 +0000 2024,2726,11325
4,Narendra Modi,"India takes immense pride in the film and entertainment industry, which boosts our economy and enhances our soft power. #MannKiBaat https://t.co/qqefKFiCNx",Sun Dec 29 11:52:53 +0000 2024,3604,18881
5,Narendra Modi,"In 2024, we marked the birth centenary of greats such as Raj Kapoor Ji, Mohammed Rafi Sahab, ANR Garu and Tapan Sinha Ji. #MannKiBaat https://t.co/8yL0xvwJwE",Sun Dec 29 11:54:49 +0000 2024,3398,17453
6,Narendra Modi,"Highlighted efforts from Egypt, Paraguay and Fiji which illustrate the rising popularity of Indian culture. #MannKiBaat https://t.co/PigoUOV7sm",Sun Dec 29 11:53:45 +0000 2024,2238,9734
7,Narendra Modi,Odisha's Kalahandi has become a vegetable hub. Farmers formed an FPO and embraced modern farming methods.  #MannKiBaat https://t.co/n5chmvp9to,Sun Dec 29 11:51:08 +0000 2024,2827,11677
8,Narendra Modi,#MannKiBaat begins soon…do tune in at 11 AM. https://t.co/yxMBHp3sTK,Sun Dec 29 04:45:34 +0000 2024,3326,22050
9,Narendra Modi,"I am also delighted to have received from Gukesh the original chessboard from the game he won. The chessboard, autographed by both him and Ding Liren, is a cherished memento. https://t.co/EcjpuGpYOC",Sat Dec 28 12:49:09 +0000 2024,2083,12659
10,Narendra Modi,"Congratulations to @humpy_koneru on winning the 2024 FIDE Women’s World Rapid Championship! Her grit and brilliance continues to inspire millions.  This victory is even more historic because it is her second world rapid championship title, thereby making her the only Indian to https://t.co/nndIak2OvI",Sun Dec 29 09:41:09 +0000 2024,9849,77228
11,Narendra Modi,"In the success of every athlete, their parents play a pivotal role. I complimented Gukesh’s parents for supporting him through thick and thin. Their dedication will inspire countless parents of young aspirants who dream of pursuing sports as a career. https://t.co/8Iov7NnyzT",Sat Dec 28 12:49:08 +0000 2024,1676,8914
12,Narendra Modi,"Deeply saddened by the passing of former USA President Mr. Jimmy Carter. A statesman of great vision, he worked tirelessly for global peace and harmony. His contributions to fostering strong India-U.S. ties leave a lasting legacy. My heartfelt condolences to his family, friends",Mon Dec 30 08:11:58 +0000 2024,3748,33152
13,Narendra Modi,"Was great to meet you and discuss AI, its uses and its evolution.  Good to see you doing great work with @perplexity_ai. Wish you all the best for your future endeavors.",Sat Dec 28 15:12:40 +0000 2024,5113,46210
14,Narendra Modi,2024 in a frame!   Here are some memorable snapshots from the year gone by.,Tue Dec 31 08:58:34 +0000 2024,3727,20317
15,Narendra Modi,This month's #MannKiBaat covers a wide range of topics that will interest you. Do listen! https://t.co/NP97ZuvP5z,Sun Dec 29 05:30:20 +0000 2024,4086,14127
16,Narendra Modi,"Dr. Pierre-Sylvain Filliozat will be remembered for his exemplary efforts to popularise Sanskrit studies, especially in the field of literature and grammar. He was deeply connected with India and Indian culture. Pained by his passing away. My thoughts are with his family and",Tue Dec 31 07:52:18 +0000 2024,2560,15668
17,Narendra Modi,"India is a powerhouse of talent, filled with innumerable inspiring life journeys showcasing innovation and courage.   It is a delight to remain connected with many of them through letters. One such effort is the Green Army, whose pioneering work will leave you very inspired.",Tue Dec 31 11:25:04 +0000 2024,5630,30773
18,Narendra Modi,"Collective efforts and transformative outcomes!  2024 has been marked by many feats, which have been wonderfully summed up in this video. We are determined to work even harder in 2025 and realise our dream of a Viksit Bharat.",Tue Dec 31 07:46:47 +0000 2024,3786,16063
19,Narendra Modi,"An insightful thread, offering a glimpse of how people’s lives have been transformed over the last decade.",Tue Dec 31 10:25:15 +0000 2024,2617,10881
20,Narendra Modi,"Along with confidence, Gukesh embodies calmness and humility. Upon winning, he was composed, basking in his glory while fully understanding how to process this hard-earned victory. Our conversation today revolved around the transformative potential of yoga and meditation.",Sat Dec 28 12:49:07 +0000 2024,648,4436
21,Narendra Modi,Wishing you all a Merry Christmas.   May the teachings of Lord Jesus Christ show everyone the path of peace and prosperity.   Here are highlights from the Christmas programme at CBCI… https://t.co/5HGmMTKurC,Wed Dec 25 03:15:20 +0000 2024,8401,69733
22,Narendra Modi,"Prioritising social welfare and empowerment, India has implemented transformative policies in various sectors. Our initiatives, such as the PM Awas Yojana and Matsya Sampada Yojana, have significantly improved the lives of countless people. https://t.co/KN2WH5evXF",Tue Dec 24 03:29:31 +0000 2024,4038,16350
23,Narendra Modi,Paid last respects to former Prime Minister Dr. Manmohan Singh Ji. His service to India will always be cherished. https://t.co/wHXcOLgREH,Sat Dec 28 10:13:45 +0000 2024,10341,131197
24,Narendra Modi,"India mourns the loss of one of its most distinguished leaders, Dr. Manmohan Singh Ji. Rising from humble origins, he rose to become a respected economist. He served in various government positions as well, including as Finance Minister, leaving a strong imprint on our economic https://t.co/clW00Yv6oP",Thu Dec 26 17:07:46 +0000 2024,28798,235716
25,Narendra Modi,"Deeply saddened by the passing of Mr. Osamu Suzuki, a legendary figure in the global automotive industry. His visionary work reshaped global perceptions of mobility. Under his leadership, Suzuki Motor Corporation became a global powerhouse, successfully navigating challenges, https://t.co/MjXmYaEOYA",Fri Dec 27 12:05:15 +0000 2024,7597,62577
26,Narendra Modi,A very special interaction with those youngsters who have been conferred the Rashtriya Bal Puraskar Award. I congratulate all the youngsters awarded and also wish them the very best for their future endeavours. https://t.co/QhuFOuBrto,Thu Dec 26 13:48:29 +0000 2024,5070,29440
27,Narendra Modi,"When the COVID-19 pandemic struck, India went beyond its own capabilities to help numerous countries. We provided medicines to several countries across the world and sent vaccines to many nations. https://t.co/Ok9yio7ieD",Tue Dec 24 03:25:47 +0000 2024,3774,18094
28,Narendra Modi,"The teachings of Jesus Christ celebrate love, harmony and brotherhood. We must unite to uphold harmony and confront challenges like violence and disruptions in society. https://t.co/nS10yeShiX",Tue Dec 24 03:26:59 +0000 2024,3957,19793
29,Narendra Modi,"Over the past decade, India has achieved transformative progress in poverty alleviation and economic growth. We are now empowering the Yuva and Nari Shakti, paving the way for a brighter and more confident future. https://t.co/24ldkYb2aL",Tue Dec 24 03:28:12 +0000 2024,3133,13047
30,Narendra Modi,The passing away of Dr. Manmohan Singh Ji is deeply saddening. I extend my condolences to his family and admirers. https://t.co/6YhbaT99dq,Fri Dec 27 05:27:40 +0000 2024,5092,38748
31,Narendra Modi,"Had an excellent interaction with chess champion and India’s pride, @DGukesh!  I have been closely interacting with him for a few years now, and what strikes me most about him is his determination and dedication. His confidence is truly inspiring. In fact, I recall seeing a video https://t.co/gkLfUXqHQp",Sat Dec 28 12:49:07 +0000 2024,12866,131338
32,Narendra Modi,Paid tributes to Dr. Manmohan Singh Ji at his residence. India will forever remember his contribution to our nation. https://t.co/nnNZjiSowN,Fri Dec 27 05:46:59 +0000 2024,11405,116106
33,Narendra Modi,"Dr. Manmohan Singh Ji and I interacted regularly when he was PM and I was the CM of Gujarat. We would have extensive deliberations on various subjects relating to governance. His wisdom and humility were always visible.   In this hour of grief, my thoughts are with the family of https://t.co/kAOlbtyGVs",Thu Dec 26 17:07:53 +0000 2024,5618,37972
34,Narendra Modi,"Today, on Atal Ji’s 100th birth anniversary, penned a few thoughts on his monumental contribution to our nation and how his efforts transformed many lives. https://t.co/mFwp6s0uNX",Wed Dec 25 03:12:19 +0000 2024,8997,59580
35,Narendra Modi,"On Veer Baal Diwas, we recall the valour and sacrifices of the Sahibzades. We also pay tribute to Mata Gujri Ji and Sri Guru Gobind Singh Ji. Addressing a programme in Delhi. https://t.co/UhEeKzFL5G",Thu Dec 26 07:46:12 +0000 2024,5796,25054
36,Narendra Modi,"Saddened by the passing away of Shri MT Vasudevan Nair Ji, one of the most respected figures in Malayalam cinema and literature. His works, with their profound exploration of human emotions, have shaped generations and will continue to inspire many more. He also gave voice to the",Thu Dec 26 04:15:38 +0000 2024,5587,68088
37,Narendra Modi,"Best wishes to PM @netanyahu and all the people across the world celebrating the festival of Hanukkah. May the radiance of Hanukkah illuminate everybody’s lives with hope, peace and strength. Hanukkah Sameach!",Wed Dec 25 12:38:19 +0000 2024,7604,68040
38,Narendra Modi,Remembering the legendary Mohammed Rafi Sahab on his 100th birth anniversary. He was a musical genius whose cultural  influence and impact transcends generations. Rafi Sahab's songs are admired for their ability to capture different emotions and sentiments. His versatility was,Tue Dec 24 13:17:40 +0000 2024,4090,32839
39,Narendra Modi,"Today, on Veer Baal Diwas, we remember the unparalleled bravery and sacrifice of the Sahibzades. At a young age, they stood firm in their faith and principles, inspiring generations with their courage. Their sacrifice is a shining example of valour and a commitment to one’s",Thu Dec 26 03:21:17 +0000 2024,8430,47715
40,Narendra Modi,"I cherish fond memories of my numerous interactions with Mr. Suzuki and deeply admire his pragmatic and humble approach. He led by example, exemplifying hard work, meticulous attention to detail and an unwavering commitment to quality. Heartfelt condolences to his family,",Fri Dec 27 12:05:16 +0000 2024,996,3453
41,Narendra Modi,Thank you Kuwait! This visit was historic and will greatly enhance our bilateral relations. I thank the Government and people of Kuwait for their warmth. I also thank the PM of Kuwait for the special gesture of coming to the airport for the see-off. https://t.co/2WPKwPtXkT,Sun Dec 22 14:36:36 +0000 2024,8429,56183
42,Narendra Modi,"Excellent meeting with His Highness the Amir of Kuwait, Sheikh Meshal Al-Ahmad Al-Jaber Al Sabah.   We discussed cooperation in key sectors like pharmaceuticals, IT, FinTech, Infrastructure and security.   In line with the close ties between our nations, we have elevated our https://t.co/yjBXjZk7gd",Sun Dec 22 10:31:49 +0000 2024,5745,40615
43,Narendra Modi,"Interacted with Archbishops, Bishops and CBCI members. Also wished His Eminence, Oswald Cardinal Gracias for his 80th birthday. https://t.co/8aoJndwLOt",Mon Dec 23 15:41:50 +0000 2024,4084,28378
44,Narendra Modi,"Attended the opening ceremony of the Arabian Gulf Cup. This grand sporting event celebrates the spirit of football in the region. I thank His Highness Sheikh Meshal Al-Ahmad Al-Jaber Al-Sabah, the Amir of Kuwait, for inviting me to witness this event. https://t.co/irYOi3SEvh",Sat Dec 21 17:55:56 +0000 2024,4126,27859
45,Narendra Modi,Met Indian workers at the Mina Abdullah. Here are highlights of a very special and memorable interaction… https://t.co/9tuIE67f6r,Sun Dec 22 06:40:21 +0000 2024,8153,51578
46,Narendra Modi,"Held fruitful discussions with HH Sheikh Ahmed Abdullah Al-Ahmed Al-Sabah, the Prime Minister of Kuwait. Our talks covered the full range of India-Kuwait relations, including trade, commerce, people-to-people ties and more. Key MoUs and Agreements were also exchanged, which will https://t.co/dSWV8VgMb8",Sun Dec 22 14:32:32 +0000 2024,3878,23531
47,Narendra Modi,Interacted with the Cardinals during the CBCI Christmas programme. India is proud of their service to society. https://t.co/0KCjGEBVBu,Mon Dec 23 15:37:24 +0000 2024,4195,38076
48,Narendra Modi,Rozgar Melas are empowering the youth and unlocking their potential. Best wishes to the newly inducted appointees. https://t.co/XkEnXIqQZv,Mon Dec 23 05:26:59 +0000 2024,2753,11720
49,Narendra Modi,Attended the Christmas celebrations hosted by the Catholic Bishops Conference of India. Here are some glimpses… https://t.co/H3SD8zGRSR,Mon Dec 23 15:28:38 +0000 2024,6473,59968
50,Narendra Modi,"Glad to have met His Highness the Amir of Kuwait, Sheikh Meshal Al-Ahmad Al-Jaber Al Sabah during the opening ceremony of the Arabian Gulf Cup. https://t.co/DaoPLKYhFy",Sat Dec 21 19:09:09 +0000 2024,6621,59480
51,Narendra Modi,"I am honoured to be conferred the Mubarak Al-Kabeer Order by His Highness the Amir of Kuwait, Sheikh Meshal Al-Ahmad Al-Jaber Al Sabah. I dedicate this honour to the people of India and to the strong friendship between India and Kuwait. https://t.co/fRuWIt34Cx",Sun Dec 22 10:57:31 +0000 2024,6853,40113
52,Narendra Modi,The CBCI Christmas celebrations brought together Christians from all walks of life. There were also soulful renditions of spiritual hymns and songs. https://t.co/0u6UJG4szT,Mon Dec 23 15:33:24 +0000 2024,3272,24076
